time[s],theta[rad],thetap[rad/s]
0.0,0.0,0.0
0.06006006006006006,-0.0012015055177228581,-0.05974374293231602
0.12012012012012012,-0.009428596491666344,-0.23147657500140628
0.18018018018018017,-0.030834614808991925,-0.49424031409888847
0.24024024024024024,-0.07001015728213544,-0.8175535496319601
0.3003003003003003,-0.12958293137986743,-1.1674255413535215
0.36036036036036034,-0.2101632589320822,-1.5131184907001707
0.42042042042042044,-0.31080654579688827,-1.8368682611006864
0.4804804804804805,-0.43051780889780156,-2.1475435735792128
0.5405405405405406,-0.5691726724122794,-2.4830186104193452
0.6006006006006006,-0.7309717634686332,-2.92079309500095
0.6606606606606606,-0.9226485764690205,-3.4797960662793335
0.7207207207207207,-1.1475006514877995,-3.9219490715114573
0.7807807807807807,-1.3768441857779683,-3.571549583271474
0.8408408408408409,-1.5620991232761583,-2.550301938799551
0.9009009009009009,-1.683685971572346,-1.5220616527195479
0.960960960960961,-1.7509252886468791,-0.763895041972074
1.021021021021021,-1.7802827382621536,-0.24353130305756987
1.0810810810810811,-1.7832838273617733,0.12122316705410507
1.1411411411411412,-1.767249026662678,0.4044831717857881
1.2012012012012012,-1.7350933969952298,0.6655321627200731
1.2612612612612613,-1.6869374927895675,0.9433760585296672
1.3213213213213213,-1.62132574579969,1.2535278774330012
1.3813813813813813,-1.5357441419061908,1.594791277439365
1.4414414414414414,-1.4291403977961517,1.9349759150367332
1.5015015015015014,-1.3049330124951175,2.1860042129004613
1.5615615615615615,-1.1715461969818715,2.212067292138619
1.6216216216216217,-1.045924033895441,1.9165161128615826
1.6816816816816818,-0.9475111806679908,1.3149603681316364
1.7417417417417418,-0.8915224829960232,0.5314747450086355
1.8018018018018018,-0.8834578166859727,-0.2339612695174898
1.8618618618618619,-0.9140147757674036,-0.7188635733600195
1.921921921921922,-0.9611128251615098,-0.7792136052104154
1.981981981981982,-1.0013302837087543,-0.5264869521993434
2.042042042042042,-1.0226481231244224,-0.1836484963388641
2.1021021021021022,-1.024572389313819,0.10293812532448127
2.1621621621621623,-1.0126018877201686,0.27446480443645405
2.2222222222222223,-0.994236147501206,0.3148335713713277
2.2822822822822824,-0.9774473512667574,0.22072768291743003
2.3423423423423424,-0.9703765987865444,-0.009261695046970386
2.4024024024024024,-0.9812701399812804,-0.37159365398734423
2.4624624624624625,-1.0170268673528127,-0.8332782653524031
2.5225225225225225,-1.0810278263577469,-1.2719669746456366
2.5825825825825826,-1.1642421377781598,-1.4228711693456602
2.6426426426426426,-1.2400882288818238,-1.0071710239745535
2.7027027027027026,-1.2760961240786166,-0.14480203845017808
2.7627627627627627,-1.2552397436326077,0.8372675853820443
2.8228228228228227,-1.1777107620100646,1.7133821566307985
2.8828828828828827,-1.0546121718015518,2.3345620915532246
2.942942942942943,-0.9043641060048266,2.6044469619315698
3.003003003003003,-0.748858859803833,2.532169695674016
3.063063063063063,-0.6046089291209897,2.2421454369166165
3.123123123123123,-0.48043220689593774,1.890206769990214
3.183183183183183,-0.3766291613234659,1.5761468568924906
3.2432432432432434,-0.2895197959384686,1.3395735770231632
3.3033033033033035,-0.21382970665141993,1.1942378349301808
3.3633633633633635,-0.14414724903917459,1.1406152169710804
3.4234234234234235,-0.07514180643478788,1.1748171175196758
3.4834834834834836,-0.0014488081280762677,1.2919084496402853
3.5435435435435436,0.08177214717642911,1.4948569031198744
3.6036036036036037,0.18002487703988154,1.7953155552056677
3.6636636636636637,0.2995449206074553,2.210961676300664
3.7237237237237237,0.4483873208953778,2.7603659113292496
3.7837837837837838,0.6332858976102507,3.4061448939046777
3.843843843843844,0.8579495025121362,4.037415092651068
3.903903903903904,1.1118881654590356,4.386916756813269
3.963963963963964,1.3754420135868017,4.3261267255569535
4.024024024024024,1.6267068675163052,4.011419152361996
4.084084084084084,1.8587095251420127,3.7459765563581984
4.1441441441441444,2.082102551234661,3.728869964741951
4.2042042042042045,2.3140346763394044,4.06086959887958
4.2642642642642645,2.576833710958154,4.737003714130742
4.324324324324325,2.884162778727802,5.442442519726086
4.384384384384385,3.215567620575101,5.414328029685972
4.444444444444445,3.5144940109840053,4.44912405377992
4.504504504504505,3.747469910336997,3.333859081137045
4.564564564564565,3.9200496216482397,2.456962285064406
4.624624624624625,4.047902496878228,1.8369577438703881
4.684684684684685,4.145245477980251,1.430380651426363
4.744744744744745,4.223299276509571,1.200748586216976
4.804804804804805,4.292097288896724,1.1185286855374452
4.864864864864865,4.360046077239821,1.1691934436417377
4.924924924924925,4.435233030119919,1.35687424695735
4.984984984984985,4.525913373734902,1.6827792443600433
5.045045045045045,4.63972248472562,2.1344213834027217
5.105105105105105,4.784509204611011,2.6813909496481187
5.165165165165165,4.961538057410566,3.181556405891583
5.225225225225225,5.158919875068346,3.3096646045703895
5.285285285285285,5.3467492464743005,2.851278322464715
5.345345345345345,5.492561272777728,1.9541020186781057
5.405405405405405,5.578553633505159,0.9029308375679908
5.465465465465465,5.602211278566803,-0.09067926199975829
5.525525525525525,5.572238373861015,-0.8599807947692921
5.585585585585585,5.505667153713344,-1.2942256369263783
5.645645645645645,5.423043210763682,-1.4167322672007827
5.7057057057057055,5.338813634801357,-1.3718689122175127
5.7657657657657655,5.258691697659293,-1.2992553198201444
5.8258258258258255,5.181902328178275,-1.2655962125782358
5.885885885885886,5.105751496745845,-1.2748853480819538
5.945945945945946,5.029100014680269,-1.2642453324857899
6.006006006006006,4.956751151638273,-1.1167706293383968
6.066066066066066,4.8998817143986235,-0.7286125106642651
6.126126126126126,4.875173476353068,-0.041681969339269265
6.186186186186186,4.899825676289489,0.8887304699759844
6.246246246246246,4.983774652657743,1.899374275092517
6.306306306306306,5.124771875418509,2.7548218080020135
6.366366366366366,5.305907086041068,3.1811362532454375
6.426426426426427,5.4956493589444095,3.0481379692755466
6.486486486486487,5.66473125096715,2.5444907064284212
6.546546546546547,5.799940317203058,1.9630032276342613
6.606606606606607,5.902377095045378,1.4656916109850109
6.666666666666667,5.978429303458665,1.0878105200900463
6.726726726726727,6.03542323903974,0.8263727814534662
6.786786786786787,6.079761015427058,0.6665758478875563
6.846846846846847,6.117134019339654,0.5919726357106693
6.906906906906907,6.152245428214254,0.5853736941367602
6.966966966966967,6.188461245918536,0.6288299381329358
7.027027027027027,6.228320616313429,0.7025318709060677
7.087087087087087,6.273069844106842,0.7889152904259537
7.147147147147147,6.323113339746951,0.8779026894426801
7.207207207207207,6.378525091969444,0.969946879118018
7.267267267267267,6.4397405770254625,1.078048736516044
7.327327327327327,6.508857246466932,1.2281398735150089
7.387387387387387,6.588738881311586,1.4370752721023514
7.4474474474474475,6.682910675931822,1.710657630112674
7.5075075075075075,6.795351156427095,2.042028007889801
7.5675675675675675,6.928427754967515,2.38034964740259
7.627627627627628,7.079710872443467,2.6330525420238367
7.687687687687688,7.240687061162219,2.690616233847428
