time[s],theta[rad],thetap[rad/s]
0.0,0.0,0.0
0.06006006006006006,-0.00023760698564104192,-0.011759356505909162
0.12012012012012012,-0.0018326607671975605,-0.044326989971822196
0.18018018018018017,-0.005850026672788944,-0.09066965474843877
0.24024024024024024,-0.012806203066967711,-0.1413602749935568
0.3003003003003003,-0.022737107998372662,-0.188345257197224
0.36036036036036034,-0.035239798356045654,-0.22572229969359495
0.42042042042042044,-0.04960289349262302,-0.2502458755671816
0.4804804804804805,-0.0650123043664262,-0.26130356186386106
0.5405405405405406,-0.08072876799542145,-0.26035914452889153
0.6006006006006006,-0.0961331030018247,-0.25098833023484246
0.6606606606606606,-0.11076976778182734,-0.23821431748326433
0.7207207207207207,-0.12481639063789082,-0.2319320991574463
0.7807807807807807,-0.1390170844410902,-0.2425717307066115
0.8408408408408409,-0.15455766182900307,-0.2781496548655776
0.9009009009009009,-0.17306563520570942,-0.3442687016547564
0.960960960960961,-0.19657867816716934,-0.44373740265025075
1.021021021021021,-0.22690483858982838,-0.5684357404946225
1.0810810810810811,-0.26502203095944665,-0.7029602673100044
1.1411411411411412,-0.3111804005274087,-0.8340818542074773
1.2012012012012012,-0.3649082752005456,-0.9510455321531629
1.2612612612612613,-0.4250243602619753,-1.0457953325131937
1.3213213213213213,-0.490157693450751,-1.1208923155343955
1.3813813813813813,-0.5595313429342013,-1.1887834902990888
1.4414414414414414,-0.633071599967103,-1.2617603486772677
1.5015015015015014,-0.7114286193411075,-1.3516190561773407
1.5615615615615615,-0.7959719458617036,-1.4697228071086794
1.6216216216216217,-0.888630704379596,-1.6168924333854402
1.6816816816816818,-0.9901539158631475,-1.7544930406443549
1.7417417417417418,-1.0978818984582064,-1.8185175492541867
1.8018018018018018,-1.2052838242090393,-1.736290371629888
1.8618618618618619,-1.304267563583297,-1.5505598966957528
1.921921921921922,-1.3914922577084083,-1.351102609861644
1.981981981981982,-1.46740140264875,-1.1874882948191439
2.042042042042042,-1.5349752331506208,-1.0690068516761866
2.1021021021021022,-1.5964617114879762,-0.9828088985282797
2.1621621621621623,-1.6533921077031601,-0.9153438601539355
2.2222222222222223,-1.7065322276409192,-0.8541971868827558
2.2822822822822824,-1.7559832004257914,-0.7874432549173249
2.3423423423423424,-1.8010513917768738,-0.7068346111959192
2.4024024024024024,-1.8406032301149204,-0.611269192596984
2.4624624624624625,-1.8738596306806077,-0.5029427179090129
2.5225225225225225,-1.900416099247241,-0.38722056374874625
2.5825825825825826,-1.9202427321207531,-0.2726377645611705
2.6426426426426426,-1.9336842161397065,-0.1708990126195188
2.7027027027027026,-1.9415844631294825,-0.09567398407094554
2.7627627627627627,-1.9458205951745235,-0.04885957179127119
2.8228228228228227,-1.9479558266391412,-0.024125831460063057
2.8828828828828827,-1.9490864566766024,-0.014680626160474566
2.942942942942943,-1.9498914266251797,-0.013293620473948595
3.003003003003003,-1.9506323200081515,-0.012296280480217608
3.063063063063063,-1.951153654799743,-0.0037461795991958874
3.123123123123123,-1.9508470506267872,0.017126358921365152
3.183183183183183,-1.948748606942059,0.05423861400889277
3.2432432432432434,-1.9438128345703252,0.11051802276442257
3.3033033033033035,-1.934942688051557,0.1870427982008323
3.3633633633633635,-1.9209895656409297,0.2830419292428443
3.4234234234234235,-1.9007534431718938,0.39589381998314305
3.4834834834834836,-1.8732519700332877,0.5200078222962633
3.5435435435435436,-1.83820653985942,0.6481576041204198
3.6036036036036037,-1.795581633516189,0.7747954613380077
3.6636636636636637,-1.7455128297377336,0.8958445878864018
3.7237237237237237,-1.688306805126435,1.0086990757579573
3.7837837837837838,-1.6244413341529151,1.1122239150000084
3.843843843843844,-1.5545652891560386,1.2067549937148705
3.903903903903904,-1.47935514924464,1.2941124757236822
3.963963963963964,-1.3991251241542884,1.371173091513068
4.024024024024024,-1.3149720874716027,1.4278026580457404
4.084084084084084,-1.228396315376334,1.455321094892133
4.1441441441441444,-1.1412281601851277,1.4469856159210193
4.2042042042042045,-1.0556280503515263,1.397990729299512
4.2642642642642645,-0.9740864904659673,1.305468237493063
4.324324324324325,-0.8994240612557851,1.168487237265464
4.384384384384385,-0.8343930807021949,0.9916538725210917
4.444444444444445,-0.7807770674134408,0.7914732359508371
4.504504504504505,-0.7394217347596876,0.5862220252824147
4.564564564564565,-0.7100682350133146,0.394499657963709
4.624624624624625,-0.6913526851472387,0.23523054632568996
4.684684684684685,-0.680912510924998,0.1177684245180581
4.744744744744745,-0.6765593143673739,0.03109104583688843
4.804804804804805,-0.6767941104972417,-0.035749382889111836
4.864864864864865,-0.6807002757988927,-0.09274511341011765
4.924924924924925,-0.6879433092326867,-0.1489314837193459
4.984984984984985,-0.6987183884181232,-0.21254709540779204
5.045045045045045,-0.7137868165839754,-0.2925185551488607
5.105105105105105,-0.7343714502934623,-0.3967730528619588
5.165165165165165,-0.7620844639154707,-0.53149081446105
5.225225225225225,-0.7989174499288035,-0.7009266742547353
5.285285285285285,-0.8467147484320078,-0.8893319165266746
5.345345345345345,-0.9052973299610538,-1.0531398114310866
5.405405405405405,-0.9716610718831842,-1.1420568319142608
5.465465465465465,-1.0399246131107949,-1.115479389555303
5.525525525525525,-1.1041482979213548,-1.014371778387372
5.585585585585585,-1.1615204926926892,-0.892978473946191
5.645645645645645,-1.2117359423504248,-0.7850055884479274
5.7057057057057055,-1.256250019367602,-0.7020243469355963
5.7657657657657655,-1.2964700896572656,-0.6400775293415669
5.8258258258258255,-1.333449150303592,-0.5921329822485477
5.885885885885886,-1.3677068604470155,-0.5485353587700648
5.945945945945946,-1.3993186552653047,-0.4984279270879684
6.006006006006006,-1.4271851581975368,-0.4245050107788682
6.066066066066066,-1.4491909379353518,-0.30970982421540516
6.126126126126126,-1.4630473028408406,-0.1484390862699445
6.186186186186186,-1.466303495568312,0.0533148690024462
6.246246246246246,-1.4564882630802218,0.27803638695629845
6.306306306306306,-1.4329725101141737,0.5029178139750576
6.366366366366366,-1.3964985963180527,0.7112666327261856
6.426426426426427,-1.3482920038136434,0.891664989628063
6.486486486486487,-1.2901003626254282,1.037688326930169
6.546546546546547,-1.2241898453330402,1.1478928430529864
6.606606606606607,-1.1528382798695307,1.2227281744663139
6.666666666666667,-1.0781418067502802,1.2602233003923529
6.726726726726727,-1.0023288939222468,1.2593381942586381
6.786786786786787,-0.9276461738530275,1.22026315606622
6.846846846846847,-0.8563584435308595,1.1444188123896626
6.906906906906907,-0.7906831017116294,1.0346593507144617
6.966966966966967,-0.7324255979752783,0.892972620306478
7.027027027027027,-0.684003608828381,0.7161054995784489
7.087087087087087,-0.6473943612052233,0.5072555240388965
7.147147147147147,-0.623874940519176,0.2777592255643657
7.207207207207207,-0.6140222906626955,0.04709213239942511
7.267267267267267,-0.6175517257227897,-0.15886645729019339
7.327327327327327,-0.6322675819262589,-0.32466501518766944
7.387387387387387,-0.65549918597269,-0.4466562941329306
7.4474474474474475,-0.6849287470381503,-0.5288558520558527
7.5075075075075075,-0.7185851401543601,-0.5830300151770085
7.5675675675675675,-0.7549665812541216,-0.6271979525533005
7.627627627627628,-0.794006710056069,-0.6747009599058398
7.687687687687688,-0.8363513348956237,-0.7362735544175936
7.747747747747748,-0.8829466204804346,-0.8183329682268451
7.807807807807808,-0.935061606903484,-0.9224353199019352
