Distance (m),Force (N)
0.009398,0.212341
0.009398,0.206084
0.009398,0.206084
0.009398,0.206084
0.009398,0.199826
0.009398,0.199826
0.009398,0.193568
0.009398,0.199826
0.009398,0.199826
0.009398,0.199826
0.009398,0.193568
0.009622,0.212341
0.009622,0.193568
0.009845,0.193568
0.009845,0.18731
0.010069,0.181052
0.010517,0.174794
0.010964,0.156021
0.011636,0.168537
0.012307,0.149763
0.012978,0.143505
0.013202,0.143505
0.013426,0.13099
0.013426,0.13099
0.013426,0.118474
0.013426,0.13099
0.013426,0.124732
0.013426,0.124732
0.013426,0.112216
0.013426,0.099701
0.013426,0.105958
0.013426,0.112216
0.013426,0.112216
0.013426,0.105958
0.013426,0.105958
0.013426,0.099701
0.013426,0.105958
0.013426,0.112216
0.013426,0.112216
0.013426,0.105958
0.013426,0.105958
0.013426,0.105958
0.013426,0.105958
0.013426,0.105958
0.013426,0.099701
0.013649,0.099701
0.014097,0.087185
0.014992,0.087185
0.015663,0.087185
0.016558,0.087185
0.017006,0.080927
0.017006,0.087185
0.01723,0.074669
0.01723,0.080927
0.01723,0.074669
0.01723,0.074669
0.017453,0.068411
0.017453,0.068411
0.017677,0.074669
0.017677,0.068411
0.017901,0.062154
0.018125,0.062154
0.018348,0.068411
0.018572,0.068411
0.018572,0.074669
0.018572,0.062154
0.018572,0.062154
0.018796,0.055896
0.018796,0.055896
0.01902,0.062154
0.01902,0.049638
0.019243,0.055896
0.019243,0.04338
0.019243,0.049638
0.019243,0.049638
0.019243,0.055896
0.019243,0.049638
0.019243,0.055896
0.019243,0.055896
0.019243,0.055896
0.019243,0.055896
0.019243,0.049638
0.019243,0.049638
0.019243,0.049638
0.019243,0.049638
0.019243,0.04338
0.019243,0.049638
0.019467,0.055896
0.019915,0.037122
0.020586,0.049638
0.021257,0.037122
0.021705,0.04338
0.021928,0.037122
0.022152,0.049638
0.022376,0.04338
0.0226,0.030865
0.0226,0.030865
0.0226,0.037122
0.022824,0.04338
0.022824,0.037122
0.022824,0.030865
0.022824,0.018349
0.022824,0.037122
0.022824,0.04338
0.022824,0.037122
0.022824,0.030865
0.022824,0.037122
0.022824,0.030865
0.022824,0.030865
0.022824,0.030865
0.022824,0.037122
0.022824,0.024607
0.022824,0.024607
0.023047,0.037122
0.023495,0.037122
0.023942,0.018349
0.024166,0.024607
0.024614,0.030865
0.024837,0.024607
0.024837,0.030865
0.024837,0.018349
0.024837,0.030865
0.024837,0.030865
0.024837,0.030865
0.024837,0.030865
0.024837,0.018349
0.024837,0.012091
0.024837,0.024607
0.024837,0.024607
0.024837,0.030865
0.024837,0.024607
0.024837,0.030865
0.024837,0.037122
0.024837,0.018349
0.024837,0.018349
0.024837,0.024607
0.024837,0.018349
0.024837,0.018349
0.025061,0.018349
0.025061,0.024607
0.025061,0.018349
0.025061,0.018349
0.025061,0.018349
0.025285,0.030865
0.025285,0.030865
0.025285,0.012091
0.025509,0.024607
0.025732,0.024607
0.02618,0.024607
0.026851,0.024607
0.027299,0.018349
0.02797,0.018349
0.028418,0.018349
0.028865,0.018349
0.029313,0.012091
0.029536,0.018349
0.02976,0.018349
0.02976,0.018349
0.02976,0.012091
0.02976,0.024607
0.02976,0.024607
0.02976,0.018349
0.02976,0.012091
0.02976,0.012091
0.02976,0.012091
0.02976,0.012091
0.02976,0.005833
0.02976,0.018349
0.02976,0.012091
0.02976,0.012091
0.02976,0.018349
0.02976,0.012091
0.029984,0.012091
0.029984,0.005833
0.030431,0.005833
0.030879,0.012091
0.031103,0.012091
0.03155,0.018349
0.031998,0.012091
0.031998,0.012091
0.032221,0.005833
0.032221,0.005833
0.032221,0.024607
0.032445,0.012091
0.032669,0.012091
0.032669,0.024607
0.032893,0.012091
0.032893,0.006682
0.033117,0.018349
0.033117,0.005833
0.033117,0.012091
0.033117,0.005833
0.033117,0.005833
0.033117,0.018349
0.033117,0.018349
0.03334,0.005833
0.033788,0.018349
0.034235,0.005833
0.034683,0.018349
0.03513,0.012091
0.035354,0.005833
0.035578,0.005833
0.035802,0.000425
0.035802,0.005833
0.036025,0.005833
0.036249,0.005833
0.036473,0.012091
0.036473,0.018349
0.036697,0.005833
0.036697,0.005833
0.036697,0.012091
0.03692,0.005833
0.037144,0.005833
0.037368,0.005833
0.037592,0.000425
0.037815,0.005833
0.038039,0.005833
0.038263,0.000425
0.038711,0.005833
0.038934,0.005833
0.039158,0.005833
0.039382,0.000425
0.039606,0.005833
0.039829,0.012091
0.040053,0.012091
0.040053,0.006682
0.040277,0.005833
0.040277,0.000425
0.040501,0.000425
0.040501,0.000425
0.040724,0.005833
0.040724,0.005833
0.040948,0.000425
0.041172,0.005833
0.041172,0.012091
0.041396,0.012091
0.041396,0.005833
0.041619,0.000425
0.041619,0.012091
0.041843,0.000425
0.041843,0.012091
0.041843,0.000425
0.042067,0.006682
0.042067,0.000425
0.042067,0.005833
0.042291,0.000425
0.042514,0.000425
0.042738,0.000425
0.042962,0.000425
0.043186,0.005833
0.043409,0.006682
0.043633,0.005833
0.043633,0.005833
0.043857,0.000425
0.043857,0.005833
0.044081,0.000425
0.044305,0.000425
0.044305,0.012091
0.044528,0.005833
0.044752,0.01294
0.044976,0.000425
0.0452,0.000425
0.0452,0.005833
0.0452,0.000425
0.0452,0.006682
0.0452,0.005833
0.0452,0.005833
0.0452,0.005833
0.045423,0.006682
0.045423,0.006682
0.045423,0.000425
0.045423,0.000425
0.045647,0.006682
0.045647,0.000425
0.045647,0.005833
0.045871,0.000425
0.045871,0.000425
0.045871,0.012091
0.045871,0.005833
0.045871,0.000425
0.045871,0.006682
0.045871,0.000425
0.045871,0.006682
0.045871,0.006682
0.045871,0.012091
0.046095,0.000425
0.046318,0.006682
0.046318,0.000425
0.046542,0.000425
0.046766,0.000425
0.04699,0.000425
0.04699,0.006682
0.04699,0.006682
0.04699,0.000425
0.047213,0.006682
0.047213,0.006682
0.047213,0.006682
0.047213,0.005833
0.047437,0.012091
0.047661,0.000425
0.047661,0.005833
0.047885,0.005833
0.047885,0.005833
0.048108,0.000425
0.048108,0.000425
0.048108,0.006682
0.048108,0.006682
0.048108,0.000425
0.048108,0.000425
0.048108,0.006682
0.048108,0.000425
0.048108,0.006682
0.048108,0.000425
0.048108,0.000425
0.048108,0.000425
0.048332,0.005833
0.048332,0.000425
0.048332,0.006682
0.048332,0.000425
0.048556,0.000425
0.04878,0.006682
0.04878,0.006682
0.049003,0.005833
0.049003,0.005833
0.049227,0.000425
0.049451,0.006682
0.049675,0.005833
0.050122,0.005833
0.050346,0.006682
0.05057,0.000425
0.050794,0.005833
0.051017,0.006682
0.051241,0.000425
0.051241,0.005833
0.051465,0.006682
0.051465,0.006682
0.051465,0.005833
0.051465,0.006682
0.051689,0.000425
0.051689,0.000425
0.051689,0.000425
0.051912,0.006682
0.051912,0.006682
0.051912,0.000425
0.051912,0.005833
0.052136,0.005833
0.052136,0.005833
0.052136,0.006682
0.052136,0.01294
0.05236,0.000425
0.052584,0.006682
0.052807,0.000425
0.053031,0.000425
0.053031,0.012091
0.053255,0.000425
0.053255,0.006682
0.053255,0.006682
0.053479,0.006682
0.053479,0.01294
0.053702,0.000425
0.053926,0.005833
0.05415,0.006682
0.05415,0.006682
0.05415,0.000425
0.05415,0.006682
0.05415,0.006682
0.05415,0.000425
0.05415,0.000425
0.05415,0.006682
0.05415,0.006682
0.05415,0.006682
0.05415,0.006682
0.05415,0.000425
0.05415,0.006682
0.05415,0.006682
0.05415,0.000425
0.05415,0.005833
0.05415,0.000425
0.05415,0.000425
0.05415,0.005833
0.05415,0.006682
0.05415,0.006682
0.05415,0.005833
0.05415,0.006682
0.05415,0.006682
0.05415,0.006682
0.05415,0.006682
0.05415,0.005833
0.05415,0.000425
0.05415,0.006682
0.05415,0.005833
0.05415,0.000425
0.05415,0.006682
0.05415,0.000425
0.05415,0.006682
0.05415,0.000425
0.05415,0.006682
0.05415,0.000425
0.05415,0.000425
0.05415,0.006682
0.05415,0.006682
0.05415,0.005833
0.05415,0.000425
0.05415,0.000425
0.05415,0.005833
0.05415,0.000425
0.05415,0.000425
0.05415,0.000425
0.05415,0.000425
0.05415,0.000425
0.05415,0.000425
0.05415,0.006682
0.053926,0.005833
0.053926,0.006682
0.053926,0.005833
0.053926,0.005833
0.053926,0.000425
0.053702,0.005833
0.053702,0.000425
0.053702,0.005833
0.053702,0.01294
0.053479,0.000425
0.053255,0.000425
0.053255,0.006682
0.053031,0.006682
0.053031,0.006682
0.053031,0.000425
0.053031,0.000425
0.052807,0.000425
0.052807,0.005833
0.052807,0.006682
0.052807,0.005833
0.052584,0.006682
0.052584,0.000425
0.052584,0.000425
0.052584,0.006682
0.05236,0.005833
0.05236,0.000425
0.052136,0.000425
0.051912,0.000425
0.051689,0.000425
0.051689,0.005833
0.051465,0.005833
0.051241,0.005833
0.051241,0.000425
0.051241,0.005833
0.051241,0.006682
0.051241,0.000425
0.051241,0.005833
0.051241,0.006682
0.051241,0.005833
0.051241,0.005833
0.051017,0.000425
0.050794,0.012091
0.050794,0.000425
0.05057,0.005833
0.050346,0.000425
0.050346,0.006682
0.050122,0.000425
0.050122,0.000425
0.050122,0.006682
0.050122,0.005833
0.049899,0.006682
0.049899,0.005833
0.049899,0.000425
0.049899,0.005833
0.049899,0.005833
0.049899,0.000425
0.049675,0.006682
0.049451,0.012091
0.049227,0.005833
0.049003,0.000425
0.049003,0.006682
0.04878,0.006682
0.04878,0.006682
0.04878,0.005833
0.04878,0.005833
0.04878,0.000425
0.04878,0.01294
0.04878,0.000425
0.048556,0.005833
0.048108,0.006682
0.047885,0.012091
0.047661,0.005833
0.047437,0.000425
0.047437,0.006682
0.047437,0.006682
0.047437,0.000425
0.047437,0.005833
0.047437,0.000425
0.047437,0.005833
0.047437,0.006682
0.047437,0.006682
0.047437,0.006682
0.047437,0.005833
0.047213,0.000425
0.047213,0.005833
0.047213,0.005833
0.04699,0.006682
0.04699,0.000425
0.04699,0.006682
0.04699,0.000425
0.04699,0.000425
0.04699,0.006682
0.04699,0.000425
0.04699,0.000425
0.04699,0.005833
0.046766,0.000425
0.046542,0.000425
0.046318,0.000425
0.046318,0.005833
0.046095,0.000425
0.046095,0.006682
0.046095,0.006682
0.045871,0.006682
0.045871,0.006682
0.045871,0.000425
0.045647,0.000425
0.045647,0.005833
0.045423,0.005833
0.0452,0.006682
0.0452,0.005833
0.044976,0.000425
0.044752,0.000425
0.044528,0.000425
0.044305,0.000425
0.044081,0.006682
0.044081,0.000425
0.043857,0.005833
0.043633,0.000425
0.043633,0.005833
0.043409,0.005833
0.043409,0.000425
0.043186,0.000425
0.042962,0.005833
0.042962,0.012091
0.042738,0.000425
0.042514,0.005833
0.042514,0.000425
0.042291,0.005833
0.042067,0.000425
0.042067,0.012091
0.042067,0.000425
0.042067,0.006682
0.041843,0.000425
0.041843,0.005833
0.041619,0.005833
0.041396,0.005833
0.041172,0.000425
0.040948,0.000425
0.040724,0.000425
0.040724,0.000425
0.040501,0.012091
0.040501,0.01294
0.040277,0.000425
0.040277,0.000425
0.040053,0.005833
0.040053,0.005833
0.039829,0.000425
0.039606,0.005833
0.039382,0.005833
0.039382,0.000425
0.039158,0.005833
0.038934,0.000425
0.038934,0.005833
0.038711,0.005833
0.038263,0.005833
0.038039,0.005833
0.037815,0.005833
0.037815,0.005833
0.037592,0.005833
0.037368,0.005833
0.037368,0.005833
0.037144,0.000425
0.03692,0.005833
0.036697,0.005833
0.036473,0.005833
0.036473,0.000425
0.036249,0.005833
0.036025,0.000425
0.035802,0.005833
0.035578,0.005833
0.035354,0.005833
0.03513,0.005833
0.034907,0.005833
0.034683,0.012091
0.034459,0.018349
0.034235,0.005833
0.034012,0.005833
0.033788,0.000425
0.033564,0.000425
0.033564,0.005833
0.03334,0.000425
0.03334,0.000425
0.033117,0.005833
0.033117,0.000425
0.032893,0.012091
0.032893,0.024607
0.032669,0.018349
0.032669,0.012091
0.032445,0.018349
0.032445,0.012091
0.032221,0.005833
0.031998,0.012091
0.031774,0.005833
0.03155,0.005833
0.03155,0.012091
0.031326,0.005833
0.031103,0.012091
0.030879,0.018349
0.030655,0.018349
0.030655,0.012091
0.030431,0.012091
0.030208,0.005833
0.029984,0.005833
0.02976,0.024607
0.029536,0.005833
0.029536,0.018349
0.029313,0.005833
0.029089,0.012091
0.028865,0.012091
0.028641,0.005833
0.028641,0.024607
0.028418,0.012091
0.028194,0.005833
0.028194,0.018349
0.02797,0.018349
0.02797,0.012091
0.027746,0.018349
0.027746,0.018349
0.027522,0.012091
0.027299,0.018349
0.027299,0.005833
0.026851,0.018349
0.026627,0.018349
0.026404,0.018349
0.02618,0.018349
0.025956,0.018349
0.025732,0.018349
0.025732,0.018349
0.025509,0.024607
0.025285,0.012091
0.025061,0.024607
0.025061,0.018349
0.024837,0.024607
0.024837,0.024607
0.024614,0.018349
0.024614,0.024607
0.02439,0.018349
0.02439,0.024607
0.024166,0.030865
0.023942,0.037122
0.023942,0.030865
0.023719,0.030865
0.023719,0.030865
0.023495,0.024607
0.023495,0.030865
0.023271,0.018349
0.023271,0.018349
0.023047,0.030865
0.023047,0.030865
0.022824,0.037122
0.0226,0.04338
0.0226,0.030865
0.022376,0.018349
0.022376,0.030865
0.022152,0.037122
0.022152,0.024607
0.021928,0.018349
0.021705,0.030865
0.021705,0.030865
0.021481,0.037122
0.021257,0.030865
0.021257,0.037122
0.021257,0.037122
0.021033,0.04338
0.02081,0.030865
0.02081,0.04338
0.020586,0.04338
0.020586,0.04338
0.020362,0.030865
0.020362,0.037122
0.020138,0.04338
0.020138,0.04338
0.019915,0.04338
0.019691,0.055896
0.019467,0.037122
0.019467,0.049638
0.019243,0.055896
0.01902,0.04338
0.01902,0.055896
0.018796,0.04338
0.018572,0.049638
0.018572,0.049638
0.018348,0.049638
0.018348,0.055896
0.018125,0.049638
0.018125,0.055896
0.018125,0.062154
0.017901,0.062154
0.017901,0.055896
0.017677,0.062154
0.017677,0.062154
0.017453,0.062154
0.01723,0.062154
0.017006,0.055896
0.016782,0.074669
0.016558,0.074669
0.016334,0.074669
0.016111,0.074669
0.016111,0.074669
0.015887,0.080927
0.015663,0.080927
0.015439,0.074669
0.015439,0.080927
0.015216,0.087185
0.014992,0.093443
0.014768,0.099701
0.014544,0.093443
0.014321,0.093443
0.014097,0.099701
0.014097,0.105958
0.013873,0.099701
0.013649,0.112216
0.013649,0.105958
0.013649,0.099701
0.013426,0.118474
0.013426,0.105958
0.013202,0.112216
0.013202,0.124732
0.013202,0.112216
0.013202,0.112216
0.012978,0.124732
0.012978,0.118474
0.012978,0.118474
0.012754,0.112216
0.012754,0.13099
0.012531,0.118474
0.012531,0.124732
0.012307,0.124732
0.012083,0.13099
0.011859,0.137247
0.011859,0.143505
0.011636,0.143505
0.011412,0.149763
0.011412,0.149763
0.011188,0.149763
0.011188,0.149763
0.010964,0.143505
0.010964,0.149763
0.01074,0.156021
0.01074,0.149763
0.01074,0.162279
0.01074,0.168537
0.01074,0.162279
0.010517,0.162279
0.010517,0.162279
0.010517,0.174794
0.010517,0.168537
0.010293,0.156021
0.010293,0.168537
0.010069,0.174794
0.010069,0.174794
0.009845,0.174794
0.009622,0.181052
0.009622,0.199826
0.009398,0.206084
0.009398,0.212341
0.009174,0.193568
0.009174,0.206084
0.009174,0.199826
0.009174,0.199826
0.00895,0.199826
0.00895,0.212341
0.00895,0.224857
0.008727,0.224857
0.008727,0.218599
0.008503,0.224857
0.008503,0.237373
0.008279,0.249888
0.008055,0.256146
0.007832,0.262404
0.007832,0.268662
0.007832,0.262404
0.007608,0.27492
0.007608,0.268662
0.007608,0.27492
0.007608,0.27492
0.007608,0.27492
0.007608,0.27492
0.007608,0.287435
0.007384,0.281177
0.007384,0.281177
0.007384,0.293693
0.00716,0.293693
0.00716,0.306209
0.006937,0.318724
0.006713,0.312467
0.006713,0.33124
0.006489,0.343756
0.006489,0.337498
0.006489,0.343756
0.006265,0.356271
0.006265,0.362529
0.006265,0.368787
0.006042,0.375045
0.006042,0.381303
0.006042,0.381303
0.006042,0.38756
0.005818,0.406334
0.005818,0.412592
0.005594,0.418849
0.005594,0.431365
0.00537,0.437623
0.00537,0.456396
0.005146,0.450139
0.005146,0.468912
0.005146,0.481428
0.005146,0.493943
0.004923,0.506459
0.004923,0.506459
0.004923,0.518975
0.004699,0.525232
0.004699,0.53149
0.004699,0.53149
0.004699,0.537748
0.004475,0.556522
0.004475,0.550264
0.004475,0.556522
0.004475,0.562779
0.004475,0.562779
0.004251,0.575295
0.004251,0.581553
0.004251,0.581553
0.004251,0.587811
0.004251,0.606584
0.004028,0.600326
0.004028,0.612842
0.004028,0.625358
0.004028,0.631615
0.003804,0.650389
0.003804,0.650389
0.003804,0.656647
0.003804,0.669162
0.00358,0.67542
0.00358,0.669162
0.00358,0.67542
0.00358,0.687936
0.00358,0.687936
0.00358,0.687936
0.00358,0.700451
0.00358,0.706709
0.003356,0.725483
0.003356,0.731741
0.003356,0.744256
0.003356,0.756772
0.003133,0.775545
0.003133,0.788061
0.002909,0.806834
0.002909,0.81935
0.002909,0.81935
0.002909,0.825608
0.002909,0.81935
0.002909,0.813092
0.002909,0.825608
0.002909,0.831866
0.002909,0.838124
0.002909,0.838124
0.002685,0.856897
0.002685,0.863155
0.002685,0.875671
0.002685,0.894444
0.002461,0.894444
0.002461,0.900702
0.002461,0.900702
0.002461,0.90696
0.002461,0.900702
0.002461,0.925733
0.002461,0.919475
0.002461,0.931991
0.002238,0.938249
0.002238,0.938249
0.002238,0.944507
0.002238,0.957022
0.002238,0.96328
0.002238,0.969538
0.002014,0.982053
0.002014,1.000827
0.002014,1.007085
0.002014,1.007085
0.002014,1.0196
0.002014,1.032116
0.002014,1.032116
0.002014,1.038374
0.00179,1.044632
0.00179,1.05089
0.00179,1.057147
0.00179,1.057147
0.00179,1.063405
0.00179,1.069663
0.00179,1.063405
0.00179,1.063405
0.00179,1.069663
0.00179,1.063405
0.00179,1.082179
0.00179,1.082179
0.00179,1.082179
0.00179,1.082179
0.00179,1.082179
0.00179,1.088436
0.00179,1.082179
0.00179,1.088436
0.00179,1.094694
0.00179,1.100952
0.00179,1.100952
0.00179,1.10721
0.001566,1.113468
0.001566,1.119726
0.001566,1.132241
0.001566,1.144757
0.001566,1.151015
0.001566,1.157273
0.001566,1.16353
0.001566,1.176046
0.001343,1.176046
0.001343,1.176046
0.001343,1.182304
0.001343,1.182304
0.001343,1.176046
0.001343,1.176046
0.001343,1.194819
0.001343,1.188562
0.001343,1.207335
0.001343,1.201077
0.001343,1.213593
0.001343,1.226109
0.001119,1.232366
0.001119,1.232366
0.001119,1.244882
0.001119,1.244882
0.001119,1.257398
0.001119,1.276171
0.001119,1.288687
0.001119,1.326234
0.000895,1.376296
0.000895,1.426359
0.000671,1.545257
0.000448,1.714219
0.000224,1.79557
0.000224,1.839375
0.000224,1.870664
0,1.889438
0,1.901953
0,1.901953
0,1.908211
0,1.895696
0,1.901953
0,1.914469
0,1.914469
0,1.908211
0,1.920727
0,1.920727
0,1.914469
0,1.920727
0,1.933242
0,1.933242
0,1.9395
0,1.952016
0,1.952016
0,1.958274
0,1.964532
0,1.970789
0,1.964532
0,1.983305
0,1.989563
0,1.983305
0,1.995821
0,1.995821
0,1.995821
0,1.989563
0,1.989563
0,1.995821
0,1.995821
0,1.995821
0,2.002079
0,1.995821
0,2.002079
0,2.020852
0,2.002079
0,2.008336
0,2.008336
0,2.014594
0,2.002079
0,2.008336
0,2.014594
0,2.014594
0,2.014594
0,2.014594
0,2.014594
0,2.014594
0,2.020852
0,2.014594
0,2.014594
0,2.008336
0,2.020852
0,2.020852
0,2.008336
0,2.020852
0,2.014594
0,2.014594
0,2.02711
0,2.020852
0,2.020852
0,2.020852
0,2.02711
0,2.020852
0,2.020852
0,2.020852
0,2.020852
0,2.020852
0,2.033368
0,2.014594
0,2.020852
0,2.020852
0,2.020852
0,2.033368
0,2.020852
0,2.039625
0,2.020852
0,2.033368
0,2.039625
0,2.033368
0,2.020852
0,2.02711
0,2.020852
0,2.039625
0,2.02711
0,2.02711
0,2.02711
0,2.033368
0,2.02711
0,2.033368
0,2.039625
0,2.020852
0,2.02711
0,2.02711
0,2.039625
0,2.02711
0,2.033368
0,2.033368
0,2.02711
0,2.033368
0,2.033368
0,2.033368
0,2.02711
0,2.033368
0,2.033368
0,2.033368
0,2.039625
0,2.033368
0,2.033368
0,2.033368
0,2.039625
0,2.033368
0,2.039625
0,2.039625
0,2.045883
0,2.033368
0,2.052141
0,2.02711
0,2.02711
0,2.039625
0,2.039625
0,2.039625
0,2.033368
0,2.039625
0,2.039625
0,2.045883
0,2.039625
0,2.039625
0,2.039625
0,2.052141
0,2.045883
0,2.045883
0,2.045883
0,2.045883
0,2.039625
0,2.039625
0,2.039625
0,2.045883
0,2.045883
0,2.033368
0,2.058399
0,2.052141
0,2.045883
0,2.039625
0,2.039625
0,2.045883
0,2.039625
0,2.039625
0,2.045883
0,2.045883
0,2.052141
0,2.045883
0,2.045883
0,2.039625
0,2.045883
0,2.045883
0,2.045883
0,2.052141
0,2.052141
0,2.039625
0,2.045883
0,2.039625
0,2.052141
0,2.052141
0,2.039625
0,2.052141
0,2.045883
0,2.058399
0,2.045883
0,2.058399
0,2.039625
0,2.045883
0,2.045883
0,2.045883
0,2.045883
0,2.045883
0,2.052141
0,2.052141
0,2.058399
0,2.052141
0,2.052141
0,2.058399
0,2.052141
0,2.045883
0,2.052141
0,2.064657
0,2.052141
0,2.058399
0,2.058399
0,2.039625
0,2.058399
0,2.052141
0,2.064657
0,2.052141
0,2.058399
0,2.058399
0,2.045883
0,2.052141
0,2.058399
0,2.058399
0,2.052141
0,2.058399
0,2.064657
0,2.052141
0,2.064657
0,2.064657
0,2.052141
0,2.058399
0,2.058399
0,2.052141
0,2.058399
0,2.058399
0,2.058399
0,2.052141
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.052141
0,2.052141
0,2.058399
0,2.052141
0,2.052141
0,2.058399
0,2.058399
0,2.064657
0,2.058399
0,2.058399
0,2.064657
0,2.064657
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.058399
0,2.052141
0,2.058399
0,2.052141
0,2.045883
0,2.064657
0,2.052141
0,2.058399
0,2.045883
0,2.058399
0,2.058399
0,2.058399
0,2.045883
0,2.052141
0,2.052141
0,2.064657
0,2.052141
0,2.058399
0,2.064657
0,2.064657
0,2.058399
0,2.058399
0,2.052141
0,2.058399
0,2.064657
0,2.064657
0,2.052141
0,2.064657
0,2.058399
0,2.064657
0,2.070915
0,2.058399
0,2.058399
0,2.058399
0,2.052141
0,2.052141
0,2.058399
0,2.052141
0,2.052141
0,2.052141
0,2.058399
0,2.064657
0,2.058399
0,2.064657
0,2.058399
0,2.070915
0,2.070915
0,2.064657
0,2.077172
0,2.095946
0,2.133493
0,2.146008
0,2.133493
0,2.133493
0,2.146008
0,2.133493
0,2.127235
0,2.102204
0,2.139751
0,2.077172
0,2.039625
0,2.014594
0,1.958274
0,1.876922
0,1.820602
0,1.820602
0,1.808086
0,1.751766
0,1.726734
0,1.714219
0,1.726734
0,1.73925
0,1.732992
0,1.726734
0,1.732992
0,1.732992
0,1.726734
0,1.732992
0,1.726734
0,1.720477
0,1.720477
0,1.726734
0,1.720477
0,1.726734
0,1.720477
0,1.720477
0,1.707961
0,1.701703
0,1.707961
0,1.707961
0,1.714219
0,1.714219
0,1.707961
0,1.714219
0,1.720477
0,1.714219
0,1.707961
0,1.701703
0,1.714219
0,1.707961
0,1.707961
0,1.701703
0,1.707961
0,1.707961
0,1.701703
0,1.714219
0,1.707961
0,1.714219
0,1.714219
0,1.707961
0,1.714219
0,1.720477
0,1.720477
0,1.707961
0,1.714219
0.000448,1.676672
0.000895,1.576547
0.002238,1.438875
0.003133,1.319976
0.003356,1.263655
0.003356,1.244882
0.003356,1.238624
0.003356,1.244882
0.003356,1.213593
0.003356,1.125983
0.003356,1.013343
0.003356,0.881928
0.003356,0.800577
0.003356,0.794319
0.003356,0.806834
0.003356,0.788061
0.003356,0.800577
0.003356,0.788061
0.003356,0.794319
0.003356,0.788061
0.003356,0.794319
0.003356,0.794319
0.003356,0.788061
0.003356,0.794319
0.003356,0.781803
0.003356,0.788061
0.003356,0.781803
0.003356,0.781803
0.003356,0.788061
0.003356,0.781803
0.003356,0.775545
0.003356,0.775545
0.003356,0.781803
0.003356,0.769288
0.003356,0.775545
0.003356,0.775545
0.003356,0.769288
0.003356,0.769288
0.003356,0.775545
0.003356,0.775545
0.003356,0.775545
0.003356,0.775545
0.003356,0.769288
0.003356,0.775545
0.003356,0.781803
0.003356,0.769288
0.003356,0.775545
0.003356,0.781803
0.003356,0.775545
0.003356,0.769288
0.003356,0.775545
0.003356,0.769288
0.003356,0.76303
0.003356,0.769288
0.003356,0.781803
0.003356,0.769288
0.003356,0.769288
0.003356,0.769288
0.003356,0.775545
0.00358,0.781803
0.003804,0.76303
0.004475,0.731741
0.00537,0.656647
0.005818,0.6191
0.005818,0.625358
0.005818,0.606584
0.005818,0.606584
0.005818,0.587811
0.005818,0.594069
0.005818,0.587811
0.005818,0.581553
0.005818,0.569037
0.005818,0.544006
0.005818,0.512717
0.005818,0.481428
0.005818,0.443881
0.005818,0.431365
0.005818,0.431365
0.005818,0.425107
0.005818,0.431365
0.005818,0.431365
0.005818,0.431365
0.005818,0.425107
0.005818,0.431365
0.005818,0.431365
0.005818,0.431365
0.005818,0.431365
0.005818,0.431365
0.005818,0.437623
0.005818,0.431365
0.005818,0.425107
0.005818,0.425107
0.005818,0.425107
0.005818,0.431365
0.006042,0.412592
0.006042,0.406334
0.006265,0.412592
0.006489,0.406334
0.006937,0.38756
0.007384,0.368787
0.007608,0.362529
0.008279,0.337498
0.008503,0.33124
0.008503,0.318724
0.008503,0.318724
0.008503,0.312467
0.008503,0.324982
0.008503,0.318724
0.008503,0.306209
0.008503,0.306209
0.008503,0.299951
0.008503,0.287435
0.008503,0.27492
0.008503,0.281177
0.008503,0.287435
0.008503,0.262404
0.008503,0.268662
0.008503,0.27492
0.008503,0.268662
0.008503,0.268662
0.008503,0.268662
0.008727,0.262404
0.00895,0.256146
0.009174,0.268662
0.009398,0.24363
0.009845,0.24363
0.010069,0.231115
0.010293,0.224857
0.010517,0.212341
0.010517,0.212341
0.010517,0.199826
0.010517,0.206084
0.01074,0.206084
0.010964,0.193568
0.011412,0.18731
0.012083,0.174794
0.012754,0.156021
0.013202,0.149763
0.013202,0.137247
0.013202,0.137247
0.013202,0.143505
0.013202,0.13099
0.013202,0.124732
0.013202,0.13099
0.013202,0.143505
0.013202,0.137247
0.013202,0.13099
0.013426,0.13099
0.014321,0.118474
0.014992,0.105958
0.015887,0.099701
0.016334,0.099701
0.016558,0.087185
0.016558,0.087185
0.016558,0.080927
0.016558,0.080927
0.016558,0.080927
0.016558,0.074669
0.016558,0.074669
0.016558,0.074669
0.016782,0.080927
0.017006,0.074669
0.017677,0.080927
0.018125,0.074669
0.018572,0.062154
0.01902,0.074669
0.019243,0.062154
0.019467,0.068411
0.019915,0.049638
0.020138,0.055896
0.020362,0.049638
0.020586,0.055896
0.02081,0.04338
0.021033,0.04338
0.021257,0.055896
0.021481,0.04338
0.021705,0.049638
0.022152,0.049638
0.022376,0.04338
0.022824,0.04338
0.023271,0.04338
0.023495,0.024607
0.023719,0.030865
0.023942,0.030865
0.024166,0.037122
0.024614,0.024607
0.025061,0.030865
0.025509,0.024607
0.025732,0.018349
0.02618,0.030865
0.026404,0.037122
0.026627,0.024607
0.026627,0.018349
0.027075,0.024607
0.027299,0.018349
0.027746,0.012091
0.028194,0.018349
0.028418,0.018349
0.028865,0.012091
